Date,A,B,C,D,E,F
01/12/2022,46,13,26,64,73,4
02/12/2022,69,100,20,88,7,72
03/12/2022,18,92,5,16,44,59
04/12/2022,82,48,7,95,70,8
05/12/2022,81,69,77,96,55,7
06/12/2022,43,45,95,2,10,6
07/12/2022,91,77,11,31,5,93
08/12/2022,3,78,92,90,9,59
09/12/2022,84,2,68,45,25,31
10/12/2022,3,41,70,33,36,45
11/12/2022,96,53,51,33,85,92
12/12/2022,81,11,80,50,35,16
13/12/2022,60,61,49,20,14,93
14/12/2022,67,15,82,32,90,74
15/12/2022,58,25,85,21,70,28
16/12/2022,3,26,50,97,80,91
17/12/2022,15,50,91,35,44,50
18/12/2022,70,70,3,36,69,8
19/12/2022,29,87,37,36,56,73
20/12/2022,33,14,61,43,32,22
21/12/2022,43,6,86,46,91,54
22/12/2022,71,94,36,85,66,75
23/12/2022,88,55,40,74,18,82
24/12/2022,82,76,9,76,10,55
25/12/2022,79,41,83,29,25,55
26/12/2022,100,70,82,10,74,91
27/12/2022,12,97,21,24,72,55
28/12/2022,56,100,93,47,2,35
29/12/2022,14,22,93,3,36,74
30/12/2022,20,57,35,44,36,45
31/12/2022,51,88,100,25,19,59
01/01/2023,37,82,47,93,71,90
02/01/2023,3,24,33,25,32,6
03/01/2023,90,26,97,92,95,58
04/01/2023,2,7,22,87,97,22
05/01/2023,75,28,67,85,92,48
06/01/2023,75,58,63,34,21,66
07/01/2023,39,76,8,29,15,76
08/01/2023,21,71,6,97,59,62
09/01/2023,10,38,45,8,73,80
10/01/2023,43,46,7,92,67,72
11/01/2023,32,26,52,93,17,61
12/01/2023,38,96,96,72,10,50
13/01/2023,3,9,39,26,17,39
14/01/2023,60,53,4,94,91,49
15/01/2023,52,75,96,81,35,91
16/01/2023,84,30,3,51,22,98
17/01/2023,72,85,27,1,84,82
18/01/2023,12,84,47,73,45,16
19/01/2023,61,82,9,10,52,90
20/01/2023,67,99,42,19,74,93
21/01/2023,40,92,57,25,24,83
22/01/2023,47,21,70,84,3,44
23/01/2023,85,77,65,31,71,57
24/01/2023,22,10,56,63,32,75
25/01/2023,23,52,70,81,73,85
26/01/2023,46,2,56,34,70,77
27/01/2023,85,58,93,34,3,91
28/01/2023,59,14,95,74,21,12
29/01/2023,6,81,36,20,29,36
30/01/2023,27,19,6,69,90,17
31/01/2023,24,34,34,69,26,86
01/02/2023,12,90,83,48,53,96
02/02/2023,40,55,39,84,93,85
03/02/2023,12,23,40,9,78,93
04/02/2023,33,12,38,11,73,96
05/02/2023,51,63,35,61,85,89
06/02/2023,31,61,71,68,65,93
07/02/2023,57,89,48,88,11,38
08/02/2023,84,61,53,55,2,33
09/02/2023,6,5,55,27,82,77
10/02/2023,43,40,42,73,83,91
11/02/2023,60,7,98,71,71,52
12/02/2023,78,79,93,26,13,98
13/02/2023,15,44,92,29,56,77
14/02/2023,26,92,37,44,57,27
15/02/2023,12,84,21,21,25,51
16/02/2023,39,34,12,53,93,66
17/02/2023,40,16,13,68,98,86
18/02/2023,59,3,39,20,5,24
19/02/2023,7,50,61,100,50,56
20/02/2023,43,25,47,41,36,100
21/02/2023,15,80,78,51,58,81
22/02/2023,86,4,51,47,90,4
23/02/2023,46,64,59,6,25,22
24/02/2023,64,64,97,65,16,54
25/02/2023,69,25,28,73,5,90
26/02/2023,32,24,25,62,80,83
27/02/2023,3,90,80,35,38,81
28/02/2023,52,33,21,33,59,48
01/03/2023,82,99,92,80,2,29
02/03/2023,64,81,84,9,44,56
03/03/2023,36,1,3,73,72,28
04/03/2023,8,5,19,83,58,81
05/03/2023,38,67,70,28,1,96
06/03/2023,52,70,77,87,54,78
07/03/2023,96,59,36,74,79,89
08/03/2023,63,98,1,45,79,87
09/03/2023,66,75,45,70,83,72
10/03/2023,36,17,98,69,100,29
11/03/2023,43,74,70,28,82,26
12/03/2023,79,87,75,79,51,87
13/03/2023,92,74,64,62,23,38
14/03/2023,79,76,96,38,21,41
15/03/2023,79,84,45,72,63,29
16/03/2023,32,96,60,16,83,29
17/03/2023,33,100,96,13,88,91
18/03/2023,78,35,26,12,42,89
19/03/2023,61,93,20,60,30,79
20/03/2023,78,67,40,16,54,1
21/03/2023,2,43,40,52,72,86
22/03/2023,57,9,32,68,54,83
